Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Attendance,Audience
Recreation,,02/22/2019 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Art Inspired By Kehinde Wiley,Agency Produced Event,Arts/Culture,,50,General Public
Recreation,,02/23/2019 04:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Jazz and Swing with the Harlem Renaissance Orchestra,Agency Produced Event,Arts/Culture,AC&F,120,General Public
Recreation,,02/26/2019 05:00:00 PM,Manhattan,Recreation Center,Highbridge Recreation Center,Flashback Fitness,Agency Produced Event,Fitness,Fitness,40,Young Adult;#Teens;#Adults
Recreation,,02/26/2019 06:30:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,AC&F: Make your Mark: Character Design Workshop,Agency Produced Event,Arts/Culture,AC&F,11,Children;#Adults;#Teens;#Young Adult
Recreation,,02/27/2019 06:00:00 PM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired By: Faith Ringgold,Agency Produced Event,Arts/Culture,,30,General Public
Recreation,Strictly Tango,02/27/2019 07:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Strictly Tango Series,Agency Produced Event,Arts/Culture,Dance,29,Young Adult;#Adults;#Seniors
Recreation,,03/02/2019 11:00:00 AM,Manhattan,Recreation Center,Highbridge Recreation Center,A Dr. Seuss Celebration,Agency Produced Event,Family Festival,Play,80,Children;#Tot
Recreation,Strictly Tango,03/06/2019 07:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Strictly Tango Series,Agency Produced Event,Arts/Culture,Dance,28,Young Adult;#Adults
Recreation,John Bunge,03/09/2019 10:00:00 AM,Manhattan,Recreation Center,Thomas Jefferson Recreation Center,AC&F: Make your Mark: Fabric Collages,Agency Produced Event,Arts/Culture,AC&F,32,Adaptive;#Seniors;#General Public;#Adults;#Young Adult;#Teens
Recreation,Mama Foundation,03/13/2019 01:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Women's History Month ""Alive and Kickin"" Vy Higginsen",Local Event,Arts/Culture,Music,40,Seniors;#Adults
Recreation,Strictly Tango,03/13/2019 07:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Strictly Tango Series,Agency Produced Event,Arts/Culture,Dance,29,Young Adult;#Adults;#Seniors
Recreation,,03/15/2019 05:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Chelsea Recreation All Star Competition,Tournament/Competition,Sport,Tier 1,21,Children
Recreation,,03/15/2019 06:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired: Jennifer Baird,Agency Produced Event,Arts/Culture,,46,Children;#Young Adult;#Adults;#Teens;#Seniors;#General Public
Recreation,,03/15/2019 06:00:00 PM,Manhattan,Recreation Center,Highbridge Recreation Center,PEP VS. Teens Basketball Tournament,Tournament/Competition,Sport,,18,Teens
Recreation,,03/15/2019 07:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Paint Social,Agency Produced Event,Arts/Culture,,22,Adults
Recreation,,03/16/2019 10:00:00 AM,Manhattan,Recreation Center,Recreation Center 54,Pre-Spring Family Art and Design,Agency Produced Event,Arts/Culture,,27,Adaptive;#Teens;#Adults;#Young Adult;#General Public;#Seniors;#Children
Recreation,,03/16/2019 10:00:00 AM,Manhattan,Recreation Center,Thomas Jefferson Recreation Center,AC&F: Make Your Mark  Fabric Collages,Agency Produced Event,Arts/Culture,AC&F,21,Young Adult;#Adults;#Teens;#Seniors;#General Public
Recreation,NY Presbyterian,03/16/2019 11:00:00 AM,Manhattan,Recreation Center,Highbridge Recreation Center,Family Wellness Day,Open House,Fitness,Fitness,45,General Public
